Country	Year	n	lat	lon
Canada	2017	5	56.130366	-106.346771
Colombia	2016	17	4.570868	-74.297333
Germany	2015	1	51.165691	10.451526
India	2010-2014	90	20.593684	78.96288
India	2011-2012	74	20.593684	78.96288
India	2012-2015	19	20.593684	78.96288
 Pakistan	2012-2015	19	30.375321	69.345116
South Africa	2012-2015	10	-30.559482	22.937506
 Venezuela	2012-2015	5	6.42375	-66.58973
India 	2013-2014	17	20.593684	78.96288
India	2011-2013	15	20.593684	78.96288
India	2009-2011	12	20.593684	78.96288
India	2012-2014	5	20.593684	78.96288
India	2013	4	20.593684	78.96288
India	2013-2014	3	20.593684	78.96288
India 	2011	2	20.593684	78.96288
India	2015	1	20.593684	78.96288
Isreael	2014-2015	6	31.046051	34.851612
Japan	2009	1	36.204824	138.252924
Kuwait	2014	1	29.31166	47.481766
Oman	2016-2017	7	21.512583	55.923255
South Africa	2012-2013	4	-30.559482	22.937506
South Korea	2006-2010	20	35.907757	127.766922
South Korea	1996-2009	3	35.907757	127.766922
South Korea	2010-2013	2	35.907757	127.766922
Spain	2016	42	40.463667	-3.74922
UK 	2013-2016	53	55.378051	-3.435973
UK 	2015-2016 	50	55.378051	-3.435973
USA	2016-2017	224	37.09024	-95.712891
USA	2013-2016	7	37.09024	-95.712891
USA	2017	1	37.09024	-95.712891
Venezuela	2012-2013 	18	6.42375	-66.58973
