Country	Year	n	lat	lon
Japan	2006	1	36.204824	138.252924
South Korea	2004-2006	15	35.907757	127.766922
South Korea	2006	15	36.907757	128.766922
South Korea	1996-2009	3	37.907757	129.766922
India	2011	2	20.593684	78.96288
India	2009-2011	12	21.593684	79.96288
India	2011-2013	12	22.593684	80.96288
South Africa	2012-2013	4	-30.559482	22.937506
India	2011-2012	52	22.593684	80.96288
Kuwait	2014	1	29.31166	47.481766
Venezuela	2012-2013	18	6.42375	-66.58973
UK	2015-2016	50	55.378051	-3.435973
Colombia	2016	17	4.570868	-74.297333
Israel	2014	6	31.046051	34.851612
USA	2013-2017	122	37.09024	-95.712891
India	2011-2012	52	21.593684	79.96288
Canada 	2017	1	56.130366	-106.346771
South Korea	2013	1	35.907757	127.766922
Oman	2017	2	21.512583	55.923255
Oman	2016-2017	5	21.512583	55.923255
India	2017	3	22.593684	80.96288
Panama	2016	9	8.537981	-80.782127
Saudi Arabia	2017-2018	3	23.885942	45.079162
Colombia	2013-2015	3	4.570868	-74.297333
Israel 	2016-2017	2	31.046051	34.851612
Kuwait	2014-2017	56	29.31166	47.481766
Colombia	2016-2017	123	4.570868	-74.297333
Switzerland 	2017	1	46.818188	8.227512
United Arab Emirates	2017	1	23.424076	53.847818
India	2012-2017	45	20.593684	78.96288
Spain	2016-2017	140	40.463667	-3.74922
Singapore 	2012-2016	3	1.352083	103.819836
China	2011-2017	15	35.86166	104.195397
Austria	2018	1	47.516231	14.550072
Kuwait	2015-2017	17	29.31166	47.481766
USA	2013-2017	112	37.09024	-95.712891
UK	2015-2017	70	55.378051	-3.435973
South Africa	2012-2016	1692	-30.559482	22.937506
USA	2013-2017	385	37.09024	-95.712891
China	2018	2	35.86166	104.195397
Australia	2015	1	-25.274398	133.775136
