Country	Year	n	lat	lon
Canada	2017	5	56.130366	-106.346771
Colombia	2016	17	4.570868	-74.297333
Germany	2015	1	51.165691	10.451526
India	2010-2014	90	20.593684	78.96288
India	2011-2012	74	20.593684	78.96288
India	2012-2015	19	20.593684	78.96288
Pakistan	2012-2015	19	30.375321	69.345116
South Africa	2012-2015	10	-30.559482	22.937506
Venezuela	2012-2015	5	6.42375	-66.58973
India	2013-2014	17	20.593684	78.96288
India	2011-2013	15	20.593684	78.96288
India	2009-2011	12	20.593684	78.96288
India	2012-2014	5	20.593684	78.96288
India	2013	4	20.593684	78.96288
India	2013-2014	3	20.593684	78.96288
India	2011	2	20.593684	78.96288
India	2015	1	20.593684	78.96288
Israel	2014-2015	6	31.046051	34.851612
Japan	2009	1	36.204824	138.252924
Kuwait	2014	1	29.31166	47.481766
Oman	2016-2017	7	21.512583	55.923255
South Africa	2012-2013	4	-30.559482	22.937506
South Korea	2006-2010	20	35.907757	127.766922
South Korea	1996-2009	3	35.907757	127.766922
South Korea	2010-2013	2	35.907757	127.766922
Spain	2016	42	40.463667	-3.74922
UK	2013-2016	53	55.378051	-3.435973
UK	2015-2016 	50	55.378051	-3.435973
USA	2016-2017	224	37.09024	-95.712891
USA	2013-2016	7	37.09024	-95.712891
USA	2017	1	37.09024	-95.712891
Venezuela	2012-2013 	18	6.42375	-66.58973
Germany	NA	2	51.165691	10.451526
India	NA	1	20.593684	78.96288
Norway	NA	1	60.472024	8.468946
Australia	2018	7	-25.274398	133.775136
Russia	2016-2017	49	61.52401	105.318756
Taiwan	2017-2018	1	23.69781	120.960515
USA	2016-2018	9	37.09024	-95.712891
South Korea	1996-2018	61	35.907757	127.766922
Austria	2018	1	47.516231	14.550072
Saudi Arabia	2017-2018	3	23.885942	45.079162
China	2018	1	35.86166	104.195397
Switzerland	2017	1	46.818188	8.227512
Spain	2016-2017	140	40.463667	-3.74922
United Arab Emirates	2017	1	23.424076	53.847818
Malaysia	NA	1	4.210484	101.975766
Colombia	2013-2015	3	4.570868	-74.297333
Kenya	2010-2016	77	-0.023559	37.906193
Iran	2018	1	32.427908	53.688046
Japan	NA	1	36.204824	138.252924
Pakistan	2018	14	30.375321	69.345116
UK	2018-2019	4	55.378051	-3.435973
Pakistan	2014-2017	193	30.375321	69.345116
Spain	2016-2017	41	40.463667	-3.74922
Spain	2019	73	40.463667	-3.74922
USA	2013-2017	133	37.09024	-95.712891
UK	NA	70	55.378051	-3.435973
USA	NA	103	37.09024	-95.712891
USA	2013-2017	51	37.09024	-95.712891
Colombia 	2015-2016	88	4.570868	-74.297333
France	2018	1	46.227638	2.213749
Israel 	2016-2017	2	31.046051	34.851612
USA	2017	1	37.09024	-95.712891
India	2017	3	20.593684	78.96288
